"Year","grp","sgrp","variable","value","value_base","diff_base","perc_base","Inflation","Infl2003Base","Infl2013Base","Infl2012Base","czsal_all","czsal_podnik","czsal_nepodnik","czsal_all_2003","czsal_podnik_2003","czsal_nepodnik_2003","phasal_all","phasal_all_2003","realchange","promenna","udaj","zmena","exekutiva","UO"
2003-01-01,"OSS-RO",TRUE,"Zam_upraveny",221366,221366,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","upraveny",FALSE,FALSE,FALSE
2003-01-01,"UO - Ostatní",FALSE,"PlatyOPPP_upraveny",1188340,1188340,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","upraveny",FALSE,TRUE,TRUE
2003-01-01,"UO - Ministerstva",FALSE,"Platy_schvaleny",4285756,4285756,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","schvaleny",FALSE,TRUE,TRUE
2003-01-01,"UO",TRUE,"AvgSal_upr2skut",0.962416474477679,0.962416474477679,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"SOBCPO",FALSE,"PlatyOPPP_uprMinusskut",276685.919999998,276685.919999998,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"ROPO celkem",TRUE,"Platy_skutecnost",102603299.43,102603299.43,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"UO - Ministerstva",FALSE,"Platy_uprMinusskut",1070.28000000026,1070.28000000026,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","uprMinusskut",TRUE,TRUE,TRUE
2003-01-01,"UO",TRUE,"OPPP_skutecnost",173422.52,173422.52,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"OOSS",FALSE,"Platy_upr2skut",1.00123628209742,1.00123628209742,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"Exekutiva",TRUE,"AvgSal_uprMinusskut",-535.897122922983,-535.897122922983,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"PO",FALSE,"OPPP_upr2skut",0.775356667566938,0.775356667566938,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"OSS-RO",TRUE,"Zam_uprMinusskut",4218,4218,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"UO - Ostatní",FALSE,"PlatyOPPP_uprMinusskut",13382.4199999999,13382.4199999999,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","uprMinusskut",TRUE,TRUE,TRUE
